File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Users\ZORE\Documents\NetBeansProjects\gimmo3\src\java\com\entities\Equipement.java,340,274,154,29,54,0,12,71,5,31
C:\Users\ZORE\Documents\NetBeansProjects\gimmo3\src\java\com\entities\Equipementreparation.java,216,172,98,19,34,0,10,53,5,31
C:\Users\ZORE\Documents\NetBeansProjects\gimmo3\src\java\com\entities\Equipementsortis.java,148,115,67,9,24,0,9,37,5,31
C:\Users\ZORE\Documents\NetBeansProjects\gimmo3\src\java\com\entities\Etat.java,155,121,71,14,24,0,10,53,5,31
C:\Users\ZORE\Documents\NetBeansProjects\gimmo3\src\java\com\entities\Famille.java,171,135,79,15,26,0,10,53,5,31
C:\Users\ZORE\Documents\NetBeansProjects\gimmo3\src\java\com\entities\Fournisseur.java,215,170,96,18,32,0,13,111,5,31
C:\Users\ZORE\Documents\NetBeansProjects\gimmo3\src\java\com\entities\Groupe.java,155,121,71,14,24,0,10,53,5,31
C:\Users\ZORE\Documents\NetBeansProjects\gimmo3\src\java\com\entities\Inventairemagasin.java,147,113,65,9,25,0,9,37,5,31
C:\Users\ZORE\Documents\NetBeansProjects\gimmo3\src\java\com\entities\Inventairestructure.java,135,104,60,8,22,0,9,37,5,31
C:\Users\ZORE\Documents\NetBeansProjects\gimmo3\src\java\com\entities\Magasin.java,211,167,98,19,34,0,10,53,5,31
C:\Users\ZORE\Documents\NetBeansProjects\gimmo3\src\java\com\entities\Marque.java,155,121,71,14,24,0,10,53,5,31
C:\Users\ZORE\Documents\NetBeansProjects\gimmo3\src\java\com\entities\Occupation.java,146,114,65,9,23,0,9,37,5,31
C:\Users\ZORE\Documents\NetBeansProjects\gimmo3\src\java\com\entities\Postedetravail.java,189,150,88,16,28,0,11,70,5,31
C:\Users\ZORE\Documents\NetBeansProjects\gimmo3\src\java\com\entities\Prestataire.java,214,169,95,18,32,0,13,111,5,31
C:\Users\ZORE\Documents\NetBeansProjects\gimmo3\src\java\com\entities\Previsions.java,126,98,56,7,19,0,9,37,5,31
C:\Users\ZORE\Documents\NetBeansProjects\gimmo3\src\java\com\entities\Profil.java,165,129,76,15,26,0,10,53,5,31
C:\Users\ZORE\Documents\NetBeansProjects\gimmo3\src\java\com\entities\Retourner.java,171,136,74,10,26,0,9,37,5,31
C:\Users\ZORE\Documents\NetBeansProjects\gimmo3\src\java\com\entities\Role.java,167,131,76,15,26,0,10,53,5,31
C:\Users\ZORE\Documents\NetBeansProjects\gimmo3\src\java\com\entities\Service.java,199,133,78,11,30,0,36,132,5,31
C:\Users\ZORE\Documents\NetBeansProjects\gimmo3\src\java\com\entities\Sortie.java,237,190,107,20,36,0,11,70,5,31
C:\Users\ZORE\Documents\NetBeansProjects\gimmo3\src\java\com\entities\Sourcedefinancement.java,165,130,75,14,24,0,11,70,5,31
C:\Users\ZORE\Documents\NetBeansProjects\gimmo3\src\java\com\entities\Structure.java,223,177,104,20,36,0,10,53,5,31
C:\Users\ZORE\Documents\NetBeansProjects\gimmo3\src\java\com\entities\Type.java,170,134,78,15,26,0,10,53,5,31
C:\Users\ZORE\Documents\NetBeansProjects\gimmo3\src\java\com\entities\Typedesortie.java,155,121,71,14,24,0,10,53,5,31
C:\Users\ZORE\Documents\NetBeansProjects\gimmo3\src\java\com\entities\Typeintervention.java,155,121,71,14,24,0,10,53,5,31
C:\Users\ZORE\Documents\NetBeansProjects\gimmo3\src\java\com\entities\Typemagasin.java,155,121,71,14,24,0,10,53,5,31
C:\Users\ZORE\Documents\NetBeansProjects\gimmo3\src\java\com\entities\Typeretour.java,156,122,71,14,24,0,10,53,5,31
C:\Users\ZORE\Documents\NetBeansProjects\gimmo3\src\java\com\entities\Typestructure.java,155,121,71,14,24,0,10,53,5,31
C:\Users\ZORE\Documents\NetBeansProjects\gimmo3\src\java\com\entities\Utilisateur.java,214,171,98,18,32,0,11,70,5,31
C:\Users\ZORE\Documents\NetBeansProjects\gimmo3\src\java\com\filter\loginFilter.java,54,35,26,1,9,0,10,40,5,31
C:\Users\ZORE\Documents\NetBeansProjects\gimmo3\src\java\com\models\AbstractFacade.java,71,48,37,5,14,0,9,37,5,31
C:\Users\ZORE\Documents\NetBeansProjects\gimmo3\src\java\com\models\AffectationFacade.java,33,17,11,1,7,0,9,37,5,31
C:\Users\ZORE\Documents\NetBeansProjects\gimmo3\src\java\com\models\AffectationutilisateurFacade.java,33,17,11,1,7,0,9,37,5,31
C:\Users\ZORE\Documents\NetBeansProjects\gimmo3\src\java\com\models\AgentcatFacade.java,33,17,11,1,7,0,9,37,5,31
C:\Users\ZORE\Documents\NetBeansProjects\gimmo3\src\java\com\models\AgentFacade.java,33,17,11,1,7,0,9,37,5,31
C:\Users\ZORE\Documents\NetBeansProjects\gimmo3\src\java\com\models\ArticleFacade.java,44,27,19,2,8,0,9,37,5,31
C:\Users\ZORE\Documents\NetBeansProjects\gimmo3\src\java\com\models\BonaffectationFacade.java,52,35,25,5,8,0,9,37,5,31
C:\Users\ZORE\Documents\NetBeansProjects\gimmo3\src\java\com\models\BondotationFacade.java,51,34,24,5,8,0,9,37,5,31
C:\Users\ZORE\Documents\NetBeansProjects\gimmo3\src\java\com\models\BonFacade.java,50,34,24,5,7,0,9,37,5,31
C:\Users\ZORE\Documents\NetBeansProjects\gimmo3\src\java\com\models\BonrestitutionFacade.java,58,42,30,7,7,0,9,37,5,31
C:\Users\ZORE\Documents\NetBeansProjects\gimmo3\src\java\com\models\CategorieFacade.java,33,17,11,1,7,0,9,37,5,31
C:\Users\ZORE\Documents\NetBeansProjects\gimmo3\src\java\com\models\DotationFacade.java,33,17,11,1,7,0,9,37,5,31
C:\Users\ZORE\Documents\NetBeansProjects\gimmo3\src\java\com\models\EquipementFacade.java,91,60,39,11,13,4,18,71,5,31
C:\Users\ZORE\Documents\NetBeansProjects\gimmo3\src\java\com\models\EquipementsortisFacade.java,33,17,11,1,7,0,9,37,5,31
C:\Users\ZORE\Documents\NetBeansProjects\gimmo3\src\java\com\models\EtatFacade.java,33,17,11,1,7,0,9,37,5,31
C:\Users\ZORE\Documents\NetBeansProjects\gimmo3\src\java\com\models\FamilleFacade.java,44,28,20,3,7,0,9,37,5,31
C:\Users\ZORE\Documents\NetBeansProjects\gimmo3\src\java\com\models\FournisseurFacade.java,33,17,11,1,7,0,9,37,5,31
C:\Users\ZORE\Documents\NetBeansProjects\gimmo3\src\java\com\models\GroupeFacade.java,33,17,11,1,7,0,9,37,5,31
C:\Users\ZORE\Documents\NetBeansProjects\gimmo3\src\java\com\models\MagasinFacade.java,48,30,21,3,9,0,9,37,5,31
C:\Users\ZORE\Documents\NetBeansProjects\gimmo3\src\java\com\models\MarqueFacade.java,33,17,11,1,7,0,9,37,5,31
C:\Users\ZORE\Documents\NetBeansProjects\gimmo3\src\java\com\models\PostedetravailFacade.java,33,17,11,1,7,0,9,37,5,31
C:\Users\ZORE\Documents\NetBeansProjects\gimmo3\src\java\com\models\PrestataireFacade.java,33,17,11,1,7,0,9,37,5,31
C:\Users\ZORE\Documents\NetBeansProjects\gimmo3\src\java\com\models\ProfileFacade.java,33,17,11,1,7,0,9,37,5,31
